id,name,description,category,launchDate,freeTier
amazon-api-gateway,Amazon API Gateway,"Build, deploy, and manage APIs",Front-End Web & Mobile,2015-07-09,Free Trial
amazon-appflow,Amazon AppFlow,No-code integration for SaaS apps & AWS services,Application Integration,2020-04-22,
amazon-appstream-2-0,Amazon AppStream 2.0,Stream desktop applications securely to a browser,End User Computing,2016-12-01,Free Trial
amazon-athena,Amazon Athena,Query data in S3 using SQL,Analytics,2016-11-30,
amazon-augmented-ai,Amazon Augmented AI,Easily implement human review of ML predictions,Machine Learning,2020-04-24,Free Trial
amazon-aurora,Amazon Aurora,High performance managed relational database,Databases,2014-11-12,
amazon-braket,Amazon Braket,Accelerate quantum computing research,Quantum Technologies,2020-08-13,Free Trial
amazon-chime,Amazon Chime,"Frustration-free meetings, video calls, and cha",Business Applications,2017-02-13,
amazon-chime-sdk,Amazon Chime SDK,"Real-time messaging, audio, video, and screen sharing&nbsp",Business Applications,2019-11-21,
amazon-cloudfront,Amazon CloudFront,Global content delivery network,Networking & Content Delivery,2008-11-18,12 Months Free
amazon-cloudsearch,Amazon CloudSearch,Managed search service,Analytics,2012-04-11,
amazon-cloudwatch,Amazon CloudWatch,Monitor resources and applications,Management & Governance,2009-05-18,
amazon-codeguru,Amazon CodeGuru,Find your most expensive lines of code,Machine Learning,2019-12-03,
amazon-cognito,Amazon Cognito,Identity management for your apps,"Security, Identity, & Compliance",2014-07-10,
amazon-comprehend,Amazon Comprehend,Discover insights and relationships in text,Machine Learning,2017-11-29,12 Months Free
amazon-connect,Amazon Connect,Omnichannel cloud contact cente,Business Applications,2017-03-28,
amazon-corretto,Amazon Corretto,Production-ready distribution of OpenJDK,Developer Tools,2019-01-31,
amazon-detective,Amazon Detective,Investigate potential security issues,"Security, Identity, & Compliance",2019-12-03,Free Trial
amazon-devops-guru,Amazon DevOps Guru,ML-powered cloud operations service to improve application availability,Machine Learning,2021-05-04,Free Trial
amazon-devops-guru-for-rds,Amazon DevOps Guru for RDS,"Detect, diagnose, and remediate performance issues in Amazon RDS",Machine Learning,2021-12-01,
amazon-documentdb-with-mongodb-compatibility,Amazon DocumentDB,Fully managed document databas,Databases,2019-01-08,
amazon-dynamodb,Amazon DynamoDB,Managed NoSQL database,Databases,2012-01-18,Free Trial
amazon-ebs-snapshots-archive,Amazon EBS Snapshots Archive,Archive EBS Snapshots and save up to 75% in snapshot storage costs,Storage,2021-11-29,
amazon-ec2,Amazon EC2,Virtual servers in the cloud,Compute,2008-10-23,Free Trial
amazon-ec2-auto-scaling,Amazon EC2 Auto Scaling,Scale compute capacity to meet demand,Compute,2009-05-17,
amazon-ec2-c7g-instances-graviton3,Amazon EC2 C7g Instances & Graviton3 (Preview),Best price performance for compute-intensive workloads in Amazon EC2,Compute,2021-11-30,
amazon-ec2-g5g-instances,Amazon EC2 G5g Instances,Best price performance in Amazon EC2 for Android game streaming,Compute,2021-11-29,
amazon-ec2-i4i-instances,Amazon EC2 I4i Instances (Coming Soon),The highest local storage performance in Amazon EC2,Compute,2021-11-30,
amazon-ec2-im4gn-is4gen-instances,Amazon EC2 Im4gn/Is4gen Instances,Best price performance and lowest cost SSD-based storage in Amazon EC2,Compute,2021-11-30,
amazon-ec2-m1-mac-instances,Amazon EC2 M1 Mac Instances (Preview),Better application build performance and faster tests for macOS,Compute,2021-12-02,
amazon-ec2-m6a-instances,Amazon EC2 M6a Instances,General purpose instances powered by 3rd generation AMD EPYC processors,Compute,2021-11-29,
amazon-ec2-spot-instances,Amazon EC2 Spot Instances,Run workloads for up to 90% off,Compute,2009-12-14,
amazon-ec2-trn1-instances,Amazon EC2 Trn1 Instances (Preview),The best price performance for training deep learning models in the cloud,Compute,2021-11-30,
amazon-ec2-x2idn-x2iedn-instances,Amazon EC2 X2idn/X2iedn Instances (Coming Soon),Up to 50% better compute price performance than previous generation instances,Compute,2021-11-29,
amazon-ec2-x2iezn-instances,Amazon EC2 X2iezn Instances (Coming Soon),The fastest Intel Xeon Scalable processor in the cloud,Compute,2021-11-29,
amazon-elastic-block-store-ebs,Amazon Elastic Block Store (EBS),EC2 block storage volumes,Storage,2008-08-20,12 Months Free
amazon-elastic-container-registry,Amazon Elastic Container Registry (ECR),"Easily store, manage, and deploy container images",Containers,2015-12-21,Free Trial
amazon-elastic-container-service-ecs,Amazon Elastic Container Service (ECS),"Highly secure, reliable, and scalable way to run containers",Containers,2014-11-13,
amazon-elastic-file-system-efs,Amazon Elastic File System (EFS),Fully managed file system for EC2,Storage,2015-04-09,12 Months Free
amazon-elastic-inference,Amazon Elastic Inference,Deep learning inference acceleration,Machine Learning,2018-11-28,
amazon-elastic-kubernetes-service-eks,Amazon Elastic Kubernetes Service (EKS),The most trusted way to run Kubernetes,Containers,2018-06-05,
amazon-elastic-transcoder,Amazon Elastic Transcoder,Easy-to-use scalable media transcoding,Media Services,2013-01-28,
amazon-elasticache,Amazon ElastiCache,In-memory caching service,Databases,2011-08-22,Free Trial
amazon-emr,Amazon EMR,Hosted Hadoop framework,Analytics,2009-04-02,
amazon-emr-serverless,Amazon EMR Serverless (Preview),Run big data applications using open-source frameworks without managing clusters and servers,Analytics,2021-11-30,
amazon-eventbridge,Amazon EventBridge,Serverless event bus for SaaS apps & AWS services,Application Integration,2019-07-11,
amazon-finspace,Amazon FinSpace,"Store, catalog, prepare, and analyze financial industry data in minutes",Analytics,2021-05-03,
amazon-forecast,Amazon Forecast,Increase forecast accuracy using machine learning,Machine Learning,2019-08-22,Free Trial
amazon-fraud-detector,Amazon Fraud Detector,Detect more online fraud faster,Machine Learning,2020-07-28,Free Trial
amazon-freertos,Amazon FreeRTOS,Real-time operating system for microcontrollers,Internet of Things,2017-11-29,
amazon-fsx,Amazon FSx,"Launch, run, and scale feature-rich and highly-performant file systems with just a few clicks",Storage,2018-11-28,
amazon-fsx-for-lustre,Amazon FSx for Lustre,High-performance file system integrated with S3,Storage,2018-11-28,
amazon-fsx-for-openzfs,Amazon FSx for OpenZFS,Fully managed storage built on the popular OpenZFS file system,Storage,2021-11-30,
amazon-fsx-for-windows-file-server,Amazon FSx for Windows File Server,Fully managed Windows native file system,Storage,2018-11-28,
amazon-gamelift,Amazon GameLift,"Simple, fast, cost-effective dedicated game server hosting",Game Tech,2016-02-09,
amazon-guardduty,Amazon GuardDuty,Managed threat detection service,"Security, Identity, & Compliance",2017-11-28,Free Trial
